bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
8293239438795395693,142,18,2019-11-01,2019-11-25,Athens,Amsterdam,59,CANCELLED
7789408472244895085,261,12,2019-11-01,2019-12-11,Paris,New Mexico,23,EXCHANGED
5408921595431865712,203,4,2019-11-01,2019-11-27,Los Angeles,Amsterdam,23,EXCHANGED
1617143575750409537,157,8,2019-11-01,2019-11-25,Sofia,Amsterdam,86,EXCHANGED
2897486263028515322,214,15,2019-11-01,2019-10-30,Tokyo,Paris,82,EXCHANGED
5745346405692401582,398,24,2019-11-01,2020-01-17,Budapest,Sydney,20,EXCHANGED
5692495765719213644,250,1,2019-11-02,2020-02-24,Dubai,Brussels,349,BOOKED
4327707272403479258,496,22,2019-11-02,2020-02-14,Sydney,Toronto,99,BOOKED
6571437984323333787,371,22,2019-11-02,2020-01-28,Amsterdam,Sao Paolo,800,BOOKED
5991206651894163658,447,23,2019-11-02,2020-01-14,Sydney,Lisbon,192,BOOKED
4866099227293407093,266,17,2019-11-02,2020-02-26,Munich,New York,513,BOOKED
7035137411535864164,159,10,2019-11-02,2020-01-08,Berlin,Warsaw,499,BOOKED
4647716320916163805,454,5,2019-11-02,2020-02-28,Warsaw,Cairo,676,BOOKED
792122651476177191,180,6,2019-11-02,2020-02-18,Beijing,Buenos Aires,228,BOOKED
7373332987326547301,442,18,2019-11-02,2020-01-05,Sydney,Paris,444,BOOKED
6409345327279216189,263,14,2019-11-02,2020-01-02,Paris,Sydney,43,BOOKED
4591060046508256178,194,20,2019-11-02,2020-02-19,Sydney,Athens,766,BOOKED
2149827623364344937,265,16,2019-11-02,2019-12-19,Athens,Sao Paolo,574,CANCELLED
7158498665690369319,250,1,2019-11-02,2020-01-25,Bogota,Beijing,789,CANCELLED
4405484870479199920,442,18,2019-11-02,2019-11-25,Cairo,Kiev,34,EXCHANGED
8363495503589176083,414,15,2019-11-02,2019-11-22,Amsterdam,Paris,30,EXCHANGED
1722246593667231641,417,18,2019-11-02,2020-01-16,Amsterdam,Milano,52,EXCHANGED
2211828876145404871,21,22,2019-11-02,2020-01-12,Los Angeles,Toronto,62,EXCHANGED
1638387185503357291,202,3,2019-11-02,2020-01-02,New York,Paris,21,EXCHANGED
4431390185217567794,16,17,2019-11-02,2019-11-24,Toronto,Moscow,39,EXCHANGED
485428220191614161,91,17,2019-11-03,2020-02-13,New Delhi,Paris,404,BOOKED
3561598665108340012,183,9,2019-11-03,2020-02-23,Paris,Amsterdam,217,BOOKED
9091956166925737386,457,8,2019-11-03,2020-02-17,London,Sydney,313,BOOKED
2089126342064638185,18,19,2019-11-03,2020-01-03,Oslo,Kiev,778,BOOKED
1943854747472825756,320,21,2019-11-03,2020-01-15,Dubai,Oslo,415,BOOKED
3352957202282316929,422,23,2019-11-03,2020-01-03,Beijing,Warsaw,303,BOOKED
5031918992836473882,3,4,2019-11-03,2020-01-30,Sao Paolo,New York,669,BOOKED
8045710947991506398,221,22,2019-11-03,2020-02-23,Sofia,Sydney,231,BOOKED
4717992537777998267,331,7,2019-11-03,2020-01-13,Paris,Amsterdam,440,BOOKED
8260499329296454909,240,16,2019-11-03,2019-12-20,Sofia,Cairo,36,EXCHANGED
6178331450982029674,485,11,2019-11-04,2020-02-27,Munich,Berlin,292,BOOKED
5872007649225843968,350,1,2019-11-04,2020-02-23,Budapest,Paris,49,BOOKED
3883332400876908695,247,23,2019-11-04,2020-01-26,Toronto,Sydney,740,BOOKED
5788488674182342054,236,12,2019-11-04,2020-02-24,Sao Paolo,Beijing,300,BOOKED
534142181721645695,358,9,2019-11-04,2020-03-03,Munich,Sao Paolo,312,BOOKED
8541125279231590885,320,21,2019-11-04,2020-02-17,London,Kiev,197,BOOKED
4006580603925641991,308,9,2019-11-04,2020-01-19,Bogota,Amsterdam,331,BOOKED
7740131851148341922,2,3,2019-11-04,2020-01-18,Prague,Hong Kong,647,BOOKED
743667171764344989,174,25,2019-11-04,2020-02-03,Amsterdam,New Mexico,98,BOOKED
1264437529960270304,82,8,2019-11-04,2020-02-11,Sofia,Oslo,129,BOOKED
593125784777072383,216,17,2019-11-04,2019-10-28,Buenos Aires,Amsterdam,607,CANCELLED
3888182718668557637,29,5,2019-11-04,2020-01-10,Amsterdam,Paris,550,CANCELLED
4263020991800883913,435,11,2019-11-04,2020-01-02,Johannesburg,Dubai,763,CANCELLED
1231468742036505194,333,9,2019-11-04,2020-01-30,Paris,Milano,41,EXCHANGED
4348851351192604617,342,18,2019-11-04,2020-01-03,Beijing,Osaka,97,EXCHANGED
4859853632009810507,24,25,2019-11-04,2019-12-10,Osaka,Sydney,44,EXCHANGED
3502484559242429427,140,16,2019-11-05,2020-01-15,London,Paris,201,BOOKED
7004497878856960246,324,25,2019-11-05,2020-01-05,Toronto,Bogota,342,BOOKED
5963416097882655623,250,1,2019-11-05,2020-01-27,Budapest,Kiev,95,BOOKED
2690330917657526398,109,10,2019-11-05,2020-01-07,Paris,New Delhi,549,BOOKED
6511477797843204830,18,19,2019-11-05,2020-01-27,Toronto,Athens,697,BOOKED
3613309740451058342,33,9,2019-11-05,2020-01-27,Sao Paolo,Lausanne,485,BOOKED
7637815726012700951,250,1,2019-11-05,2020-02-01,Prague,Paris,167,BOOKED
8431545538488783225,268,19,2019-11-05,2020-02-28,Lausanne,Berlin,795,BOOKED
5495448475070658640,148,24,2019-11-05,2020-02-02,Sydney,Munich,682,BOOKED
1302973658876016648,330,6,2019-11-05,2020-01-05,Los Angeles,Budapest,462,BOOKED
5770401134944612306,84,10,2019-11-05,2019-12-31,Hong Kong,Buenos Aires,25,EXCHANGED
5466902100367566951,267,18,2019-11-05,2019-12-19,Buenos Aires,Oslo,53,EXCHANGED
6800116674999520702,442,18,2019-11-05,2019-12-03,Sydney,Moscow,64,EXCHANGED
4288036019236156432,21,22,2019-11-05,2019-12-18,Sydney,Stockholm,25,EXCHANGED
5784563716504918212,124,25,2019-11-05,2020-01-03,Sofia,Hong Kong,41,EXCHANGED
6756263022678610632,405,6,2019-11-05,2020-01-08,Stockholm,Lisbon,38,EXCHANGED
3715463564868187416,194,20,2019-11-05,2019-10-31,New Mexico,Amsterdam,60,EXCHANGED
5304715456351315707,345,21,2019-11-06,2020-03-03,Hong Kong,Amsterdam,535,BOOKED
6729376436849939433,338,14,2019-11-06,2020-02-19,Warsaw,Sydney,568,BOOKED
6953208778985951717,125,1,2019-11-06,2020-02-22,Moscow,Hong Kong,238,BOOKED
8997275690445378207,479,5,2019-11-06,2020-01-07,Hong Kong,Madrid,477,BOOKED
6494123792603489468,102,3,2019-11-06,2020-01-19,Osaka,Bogota,64,BOOKED
3349035624106869048,315,16,2019-11-06,2020-02-12,Amsterdam,Paris,180,BOOKED
5060705562324130698,262,13,2019-11-06,2020-02-29,Amsterdam,Lisbon,294,BOOKED
1501135132311237728,154,5,2019-11-06,2020-01-25,Kiev,Dubai,174,BOOKED
1392919015415144569,459,10,2019-11-06,2020-01-23,Dubai,Hong Kong,353,BOOKED
6883291168716353844,39,15,2019-11-06,2020-02-09,Moscow,Sydney,460,BOOKED
7025405495849450118,39,15,2019-11-06,2019-12-13,Madrid,Paris,70,EXCHANGED
2968647938935245605,370,21,2019-11-06,2019-12-18,Johannesburg,Sydney,24,EXCHANGED
1669596658973425048,249,25,2019-11-06,2020-02-03,Los Angeles,Budapest,35,EXCHANGED
7019420187168560541,166,17,2019-11-07,2020-01-31,Moscow,Paris,545,BOOKED
1579813150948004985,489,15,2019-11-07,2020-01-20,Paris,Prague,273,BOOKED
2798091279254089637,448,24,2019-11-07,2020-01-30,Sao Paolo,Dubai,143,BOOKED
7439727579631594680,463,14,2019-11-07,2020-02-01,Sydney,Sydney,43,BOOKED
294751230894983487,41,17,2019-11-07,2020-02-25,Munich,Dubai,460,BOOKED
2400028062883130497,350,1,2019-11-07,2020-02-12,New York,Sydney,173,BOOKED
7219468193631836845,83,9,2019-11-07,2020-01-23,Prague,Osaka,598,BOOKED
5971283056167192886,134,10,2019-11-07,2020-02-12,Athens,Amsterdam,107,BOOKED
