bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
4450661819152917107,240,16,2020-08-01,2020-09-28,Stockholm,New York,345,CANCELLED
8715330637203724639,49,25,2020-08-01,2020-10-21,Osaka,Amsterdam,414,CANCELLED
600363184149854643,97,23,2020-08-01,2020-08-17,Sao Paolo,Sydney,22,EXCHANGED
7190058066384345728,426,2,2020-08-01,2020-10-24,Toronto,Paris,21,EXCHANGED
45107853822853054,31,7,2020-08-01,2020-09-21,Toronto,Osaka,67,EXCHANGED
6697243104323208836,284,10,2020-08-02,2020-10-31,Amsterdam,Cairo,575,BOOKED
7692288882039307182,254,5,2020-08-02,2020-10-31,New York,Beijing,749,BOOKED
4207442425461780145,152,3,2020-08-02,2020-10-25,Sao Paolo,Sydney,725,BOOKED
5754687100138063785,174,25,2020-08-02,2020-10-29,Amsterdam,Dubai,46,BOOKED
4705354899231905452,2,3,2020-08-02,2020-10-23,Lisbon,Munich,746,BOOKED
5523121724547669275,39,15,2020-08-02,2020-11-18,Sydney,Tokyo,759,BOOKED
686593306391025743,206,7,2020-08-02,2020-11-09,Buenos Aires,Sydney,363,BOOKED
4539595139183470626,477,3,2020-08-02,2020-11-03,Paris,Moscow,41,BOOKED
160878877773503126,244,20,2020-08-02,2020-10-15,Lausanne,Moscow,428,BOOKED
84787882884285446,228,4,2020-08-02,2020-11-20,New Delhi,Moscow,330,BOOKED
5477596632165306822,135,11,2020-08-02,2020-11-19,Budapest,Sydney,591,BOOKED
8490202297972138986,322,23,2020-08-02,2020-10-15,Sao Paolo,Sydney,118,BOOKED
8234478962916108747,43,19,2020-08-02,2020-10-20,Toronto,Warsaw,392,BOOKED
3438720192504363043,39,15,2020-08-02,2020-10-10,Amsterdam,Moscow,666,BOOKED
2786814251499943064,448,24,2020-08-02,2020-10-21,Sydney,Paris,530,BOOKED
6632949986694715516,285,11,2020-08-02,2020-10-12,Amsterdam,Oslo,227,CANCELLED
2702467751652917232,240,16,2020-08-02,2020-10-03,Warsaw,Lausanne,63,CANCELLED
217095041607046742,299,25,2020-08-02,2020-08-18,Stockholm,Buenos Aires,26,EXCHANGED
5929047887945063680,194,20,2020-08-02,2020-09-22,Amsterdam,Kiev,81,EXCHANGED
6055247705994010096,261,12,2020-08-02,2020-09-23,Kiev,Sydney,53,EXCHANGED
6677751391756497730,194,20,2020-08-03,2020-11-11,Sydney,Amsterdam,442,BOOKED
2154624119276399618,260,11,2020-08-03,2020-11-04,Bogota,Amsterdam,182,BOOKED
6559121236183709669,433,9,2020-08-03,2020-11-20,Madrid,Paris,250,BOOKED
2873803764897416652,4,5,2020-08-03,2020-10-13,Toronto,Beijing,731,BOOKED
4441366010143214031,371,22,2020-08-03,2020-11-12,Toronto,Moscow,384,BOOKED
2633495787213002665,189,15,2020-08-03,2020-10-18,Cairo,New Mexico,264,BOOKED
1887496987616669509,455,6,2020-08-03,2020-11-04,Brussels,Madrid,618,BOOKED
5492943513072542163,98,24,2020-08-03,2020-11-26,Sao Paolo,Sao Paolo,544,BOOKED
8390734740538034582,163,14,2020-08-03,2020-10-07,Brussels,Lausanne,245,BOOKED
7333347737649218928,408,9,2020-08-03,2020-10-29,Sydney,Johannesburg,408,BOOKED
4136659739341132272,107,8,2020-08-03,2020-09-01,Amsterdam,Lausanne,377,CANCELLED
5624051672170729729,57,8,2020-08-03,2020-08-20,New Delhi,Sao Paolo,84,EXCHANGED
4057554860803356887,365,16,2020-08-04,2020-11-20,Moscow,Sydney,220,BOOKED
446388517959296961,226,2,2020-08-04,2020-11-30,Lisbon,Amsterdam,419,BOOKED
8651399116700542259,143,19,2020-08-04,2020-11-29,Toronto,Madrid,37,BOOKED
5251685055246713411,39,15,2020-08-04,2020-10-14,Sydney,Paris,254,BOOKED
7477237210535998049,194,20,2020-08-04,2020-12-01,Cairo,Toronto,679,BOOKED
7127131553559471000,375,1,2020-08-04,2020-10-22,New Mexico,Paris,794,BOOKED
8801286741148672046,94,20,2020-08-04,2020-11-26,Amsterdam,Berlin,58,BOOKED
8148362897147774961,57,8,2020-08-04,2020-10-05,Lisbon,Bogota,330,BOOKED
8705574217990258556,61,12,2020-08-04,2020-10-13,Athens,Dubai,510,BOOKED
1969414529556816522,362,13,2020-08-04,2020-11-13,Sao Paolo,Kiev,822,BOOKED
5101674565003450436,16,17,2020-08-04,2020-10-09,Brussels,Sao Paolo,102,BOOKED
2431033116481688859,442,18,2020-08-04,2020-09-14,Sao Paolo,Beijing,700,CANCELLED
6620256855746690699,490,16,2020-08-04,2020-09-30,Sofia,Sydney,550,CANCELLED
4319265795877094732,425,1,2020-08-04,2020-09-29,Toronto,Dubai,49,EXCHANGED
2113817689775807273,308,9,2020-08-04,2020-09-23,Sao Paolo,New Delhi,54,EXCHANGED
2938358426870064636,404,5,2020-08-04,2020-09-04,New Delhi,Sydney,68,EXCHANGED
5361303333835713647,442,18,2020-08-04,2020-09-06,Moscow,Sydney,27,EXCHANGED
