bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
7360519935613038738,308,9,2020-12-01,2021-03-21,Sydney,Hong Kong,816,BOOKED
7383054313615133879,280,6,2020-12-01,2021-02-17,Paris,New Mexico,271,BOOKED
4133838005163098197,302,3,2020-12-01,2021-03-22,Sydney,Amsterdam,356,BOOKED
8962795967869192204,82,8,2020-12-01,2021-03-11,New Delhi,Lausanne,793,BOOKED
4687776127261630553,87,13,2020-12-01,2021-03-16,Budapest,Amsterdam,323,BOOKED
4496428846783549985,182,8,2020-12-01,2021-03-23,Cairo,Oslo,464,BOOKED
2125078499425694702,249,25,2020-12-01,2021-02-23,Sao Paolo,Amsterdam,376,BOOKED
8659100177975330398,452,3,2020-12-01,2021-03-19,Buenos Aires,Munich,346,BOOKED
1741657536106363125,149,25,2020-12-01,2021-02-15,Paris,Sydney,202,BOOKED
3328633999815027719,373,24,2020-12-01,2021-03-20,Sao Paolo,Moscow,595,BOOKED
3298201337498245703,88,14,2020-12-01,2021-03-22,Paris,New Delhi,666,BOOKED
5805459958627932560,275,1,2020-12-01,2021-03-19,Kiev,Johannesburg,274,BOOKED
6172791096829906089,269,20,2020-12-01,2021-02-27,Budapest,Amsterdam,201,BOOKED
2391733629152072437,302,3,2020-12-01,2021-02-15,Hong Kong,Amsterdam,44,BOOKED
9039326971306901108,155,6,2020-12-01,2021-02-18,Berlin,Sao Paolo,26,BOOKED
745349839156833175,375,1,2020-12-01,2021-02-18,Warsaw,Oslo,131,BOOKED
3235981167449034362,113,14,2020-12-01,2021-03-14,Amsterdam,Tokyo,83,BOOKED
6959604565701949383,51,2,2020-12-01,2021-03-11,New Mexico,Sydney,496,BOOKED
1660264205897572885,209,10,2020-12-01,2021-02-04,Athens,Sydney,223,BOOKED
3576557094746217956,492,18,2020-12-01,2021-03-24,London,Madrid,155,BOOKED
4854818842278236009,387,13,2020-12-01,2021-02-20,Budapest,Amsterdam,618,BOOKED
4305051542481169481,371,22,2020-12-01,2020-11-28,Hong Kong,Sydney,83,CANCELLED
2202234806048695671,250,1,2020-12-01,2021-02-07,Paris,Tokyo,25,EXCHANGED
1833967952493513522,106,7,2020-12-01,2021-01-28,Amsterdam,Warsaw,38,EXCHANGED
6904400721391198411,168,19,2020-12-01,2020-11-29,Munich,Amsterdam,29,EXCHANGED
7749534514281848191,348,24,2020-12-02,2021-03-06,Sao Paolo,Cairo,295,BOOKED
4594772339232979108,341,17,2020-12-02,2021-02-03,Sydney,Berlin,729,BOOKED
2787210401505072011,242,18,2020-12-02,2021-02-17,Amsterdam,Milano,632,BOOKED
6658922903394698001,456,7,2020-12-02,2021-03-03,Amsterdam,Oslo,511,BOOKED
5358602083531292718,203,4,2020-12-02,2021-02-17,Dubai,New Mexico,517,BOOKED
6149708623000311702,191,17,2020-12-02,2021-03-23,Toronto,Sofia,234,BOOKED
210884886666716562,180,6,2020-12-02,2021-03-15,Sao Paolo,Prague,100,BOOKED
4040384816390885667,40,16,2020-12-02,2021-03-27,Brussels,Sao Paolo,43,BOOKED
1412731819797587133,481,7,2020-12-02,2021-02-11,Sydney,Warsaw,560,BOOKED
9127932109014539569,66,17,2020-12-02,2021-02-26,Los Angeles,New York,146,BOOKED
224718500013500092,292,18,2020-12-02,2021-02-13,Moscow,Amsterdam,61,BOOKED
1328163599290568449,290,16,2020-12-02,2021-03-11,New Delhi,Prague,604,BOOKED
