bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
2866040089360694462,308,9,2020-03-01,2020-05-14,Amsterdam,Sydney,272,BOOKED
6961621618808882228,325,1,2020-03-01,2020-05-17,Prague,Amsterdam,304,BOOKED
8038359324752463142,200,1,2020-03-01,2020-06-17,Warsaw,London,612,BOOKED
5148838195565591514,39,15,2020-03-01,2020-06-03,Paris,New Delhi,636,BOOKED
2870455806238581795,306,7,2020-03-01,2020-05-15,Los Angeles,Dubai,579,BOOKED
6380839128264309820,326,2,2020-03-01,2020-05-23,Berlin,Amsterdam,277,BOOKED
3147316782276671744,20,21,2020-03-01,2020-06-24,Brussels,Budapest,350,BOOKED
2002243894983017691,182,8,2020-03-01,2020-05-04,Toronto,Amsterdam,551,BOOKED
3459890191715043720,250,1,2020-03-01,2020-05-31,Bogota,Paris,400,BOOKED
2636487176752180112,157,8,2020-03-01,2020-04-28,Johannesburg,Paris,380,CANCELLED
3609261800221975610,431,7,2020-03-01,2020-04-17,Sydney,Tokyo,21,EXCHANGED
4925722759137144992,165,16,2020-03-01,2020-05-04,Munich,Sao Paolo,47,EXCHANGED
5809277071750979690,442,18,2020-03-02,2020-06-11,Sydney,New Delhi,789,BOOKED
4329583195581562113,308,9,2020-03-02,2020-06-17,Johannesburg,New Delhi,542,BOOKED
2063590719081935472,39,15,2020-03-02,2020-06-11,Johannesburg,Munich,673,BOOKED
8982775587632191416,69,20,2020-03-02,2020-05-04,Hong Kong,Toronto,313,BOOKED
2306431367285707347,280,6,2020-03-02,2020-06-12,Sao Paolo,Paris,192,BOOKED
174457939871734724,116,17,2020-03-02,2020-06-13,Sydney,Tokyo,117,BOOKED
8903059960802552955,396,22,2020-03-02,2020-06-06,Osaka,Budapest,286,BOOKED
4161612427005712741,165,16,2020-03-02,2020-05-04,Sydney,Sydney,760,BOOKED
1293370108790395186,362,13,2020-03-02,2020-05-07,Paris,Sydney,318,BOOKED
2663647312294586270,458,9,2020-03-02,2020-05-17,Sao Paolo,Paris,418,BOOKED
6655120510605380204,210,11,2020-03-02,2020-05-17,Osaka,Amsterdam,457,BOOKED
8349963323647522906,321,22,2020-03-02,2020-06-27,Dubai,Amsterdam,534,BOOKED
3824243704814921256,39,15,2020-03-02,2020-06-15,Madrid,Sydney,255,BOOKED
8529779192610316295,217,18,2020-03-02,2020-05-17,Sydney,Buenos Aires,315,BOOKED
4612285171098584145,5,6,2020-03-02,2020-06-27,Johannesburg,Athens,800,BOOKED
3552302258579871755,93,19,2020-03-02,2020-06-10,Paris,Bogota,407,BOOKED
6455220780807883401,265,16,2020-03-02,2020-06-25,New Mexico,Warsaw,354,BOOKED
5452545989853111188,308,9,2020-03-02,2020-06-14,Moscow,Budapest,604,BOOKED
4533383920038945439,39,15,2020-03-02,2020-06-22,New York,Hong Kong,513,BOOKED
1787709049856557817,111,12,2020-03-02,2020-05-22,Johannesburg,Amsterdam,663,BOOKED
1551790308501380925,39,15,2020-03-02,2020-05-21,Osaka,Sao Paolo,147,BOOKED
4661762613208150273,418,19,2020-03-02,2020-06-05,London,Johannesburg,173,BOOKED
261332365769262468,138,14,2020-03-02,2020-06-29,Kiev,Athens,285,BOOKED
7629384945619652987,173,24,2020-03-02,2020-05-28,Sao Paolo,New Delhi,372,BOOKED
3595834518520849818,406,7,2020-03-02,2020-06-13,Milano,Paris,72,BOOKED
3041537173065343270,106,7,2020-03-02,2020-06-01,Paris,Sao Paolo,578,BOOKED
46109646262000213,235,11,2020-03-02,2020-05-11,Paris,London,271,BOOKED
5038459713336156019,8,9,2020-03-02,2020-04-01,Cairo,Amsterdam,246,CANCELLED
4161191571830019856,238,14,2020-03-02,2020-05-14,Hong Kong,New Mexico,479,CANCELLED
2482973709385599791,80,6,2020-03-02,2020-04-18,Beijing,Stockholm,502,CANCELLED
7410458410905073531,286,12,2020-03-02,2020-04-18,Sydney,Sydney,85,EXCHANGED
2468123468499366025,162,13,2020-03-02,2020-04-27,Los Angeles,Cairo,82,EXCHANGED
8680329095191657494,485,11,2020-03-02,2020-04-30,Osaka,Sao Paolo,31,EXCHANGED
711112962466256903,194,20,2020-03-02,2020-03-28,New York,Lisbon,38,EXCHANGED
6160124392555908599,130,6,2020-03-02,2020-04-17,Stockholm,Paris,40,EXCHANGED
7412888568770666332,166,17,2020-03-02,2020-04-04,Hong Kong,Oslo,29,EXCHANGED
9100676056065819006,45,21,2020-03-02,2020-04-20,Amsterdam,Sydney,40,EXCHANGED
1827989726256299753,41,17,2020-03-03,2020-05-29,Amsterdam,New York,387,BOOKED
6905052582415659952,435,11,2020-03-03,2020-06-22,Athens,Sydney,117,BOOKED
4845171019073079483,305,6,2020-03-03,2020-05-15,Los Angeles,Paris,367,BOOKED
6656904563257951098,466,17,2020-03-03,2020-06-18,Amsterdam,Beijing,511,BOOKED
1537710401657219120,128,4,2020-03-03,2020-06-08,Sao Paolo,Amsterdam,56,BOOKED
1519544378748771948,249,25,2020-03-03,2020-05-31,Lisbon,Paris,440,BOOKED
412032256071544128,241,17,2020-03-03,2020-05-21,Sydney,Amsterdam,305,BOOKED
7982214575452394584,39,15,2020-03-03,2020-06-26,New Delhi,Kiev,665,BOOKED
3343114275314881087,364,15,2020-03-03,2020-06-13,Amsterdam,Munich,422,BOOKED
5488265456398911685,182,8,2020-03-03,2020-05-16,Sao Paolo,Athens,515,BOOKED
4534931035400240202,500,1,2020-03-03,2020-05-09,Buenos Aires,Amsterdam,529,BOOKED
6395145190703960814,299,25,2020-03-03,2020-06-24,Sao Paolo,Paris,577,BOOKED
127426031589855939,250,1,2020-03-03,2020-06-22,Cairo,Amsterdam,822,BOOKED
6994654971008728904,227,3,2020-03-03,2020-05-06,Sao Paolo,Cairo,638,BOOKED
6979016603572591200,74,25,2020-03-03,2020-04-13,Munich,New Mexico,21,EXCHANGED
5592150475060572613,20,21,2020-03-03,2020-05-02,Lausanne,Beijing,46,EXCHANGED
4874235356399466875,180,6,2020-03-03,2020-04-18,Sao Paolo,Athens,24,EXCHANGED
4679731131520263399,358,9,2020-03-03,2020-05-17,Paris,Cairo,31,EXCHANGED
559415896080092706,178,4,2020-03-03,2020-04-21,Madrid,Osaka,22,EXCHANGED
1128129148018853368,436,12,2020-03-03,2020-04-16,Amsterdam,Amsterdam,26,EXCHANGED
3546156867971276330,84,10,2020-03-03,2020-04-13,Bogota,Amsterdam,37,EXCHANGED
484874005494043092,83,9,2020-03-03,2020-04-24,Bogota,Oslo,50,EXCHANGED
7959682591835376998,386,12,2020-03-04,2020-05-31,Cairo,Osaka,495,BOOKED
5917777280778067394,194,20,2020-03-04,2020-05-27,Amsterdam,Osaka,62,BOOKED
1349626154399755364,414,15,2020-03-04,2020-06-11,New York,Sydney,138,BOOKED
1418360179504758695,149,25,2020-03-04,2020-05-17,Madrid,Cairo,259,BOOKED
4693847458391520148,468,19,2020-03-04,2020-06-17,Johannesburg,Budapest,259,BOOKED
8589101982296482423,299,25,2020-03-04,2020-05-15,Bogota,Oslo,390,BOOKED
3514473984287850142,407,8,2020-03-04,2020-03-28,Sydney,Paris,85,CANCELLED
632040971162255663,342,18,2020-03-04,2020-03-18,Paris,Warsaw,486,CANCELLED
1827989726256299753,41,17,2020-03-04,2020-05-29,Amsterdam,New York,376,CANCELLED
7146374808117405545,409,10,2020-03-04,2020-04-06,Amsterdam,Amsterdam,431,CANCELLED
1261706988809560978,476,2,2020-03-04,2020-04-01,Lausanne,Toronto,96,EXCHANGED
9213406586871660045,442,18,2020-03-04,2020-04-28,Tokyo,Stockholm,21,EXCHANGED
7871172414212249162,179,5,2020-03-04,2020-04-23,Amsterdam,Johannesburg,34,EXCHANGED
8515181298415198576,95,21,2020-03-04,2020-04-22,Amsterdam,Sao Paolo,70,EXCHANGED
8743717055223167913,179,5,2020-03-04,2020-03-29,Tokyo,Sofia,46,EXCHANGED
1453180102862151589,175,1,2020-03-04,2020-03-30,Bogota,Amsterdam,68,EXCHANGED
1174567577103658601,380,6,2020-03-04,2020-04-04,Oslo,Johannesburg,25,EXCHANGED
1976099731270422595,291,17,2020-03-04,2020-04-12,Johannesburg,Paris,68,EXCHANGED
2097633421661617191,93,19,2020-03-04,2020-04-05,Osaka,Berlin,41,EXCHANGED
837447277754930336,474,25,2020-03-04,2020-04-26,Osaka,Berlin,35,EXCHANGED
9164985400753418230,209,10,2020-03-04,2020-05-22,Osaka,Dubai,23,EXCHANGED
6396663370315542693,64,15,2020-03-05,2020-06-19,Sydney,Lausanne,698,BOOKED
212977503047436570,43,19,2020-03-05,2020-06-02,Brussels,Osaka,499,BOOKED
3335541027109382447,250,1,2020-03-05,2020-05-25,New York,Munich,478,BOOKED
8794968276284592748,101,2,2020-03-05,2020-05-10,Moscow,Sydney,102,BOOKED
6080452733967769334,183,9,2020-03-05,2020-06-27,Sao Paolo,Sydney,254,BOOKED
