bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
7206082105638907749,472,23,2020-10-01,2020-12-25,Los Angeles,Paris,566,BOOKED
8909260998013001265,366,17,2020-10-01,2021-01-17,Amsterdam,London,810,BOOKED
8838587357639132949,209,10,2020-10-01,2021-01-10,Amsterdam,Brussels,125,BOOKED
295901707079929808,397,23,2020-10-01,2020-12-07,Amsterdam,Lisbon,356,BOOKED
5008191554388182784,277,3,2020-10-01,2021-01-21,Amsterdam,Kiev,777,BOOKED
1407983742732395656,467,18,2020-10-01,2020-12-13,Tokyo,Amsterdam,301,BOOKED
50834461365218233,19,20,2020-10-01,2021-01-20,Paris,Toronto,661,BOOKED
7505727249484605386,158,9,2020-10-01,2020-12-01,Beijing,Sao Paolo,254,BOOKED
4197537241938536696,387,13,2020-10-01,2021-01-17,Stockholm,Athens,116,BOOKED
8890903676443127053,402,3,2020-10-01,2021-01-15,Sao Paolo,Athens,503,BOOKED
5431971699959026935,146,22,2020-10-01,2020-09-24,Budapest,Hong Kong,269,CANCELLED
8755996341632867237,408,9,2020-10-01,2020-12-10,Warsaw,Kiev,26,CANCELLED
4979878984000052190,7,8,2020-10-01,2020-11-19,Oslo,Dubai,21,EXCHANGED
3370007107825448088,183,9,2020-10-01,2020-11-08,Sydney,Sydney,75,EXCHANGED
7177893534624800715,16,17,2020-10-01,2020-11-09,Prague,Los Angeles,20,EXCHANGED
8546707601225177700,202,3,2020-10-01,2020-10-27,Berlin,Milano,26,EXCHANGED
2535540477249513850,477,3,2020-10-01,2020-10-23,Tokyo,Kiev,59,EXCHANGED
2844342046116163122,81,7,2020-10-01,2020-10-26,Sydney,Beijing,62,EXCHANGED
3931308298224324634,141,17,2020-10-02,2020-12-26,Sydney,Madrid,301,BOOKED
8318485953417659132,232,8,2020-10-02,2021-01-19,Brussels,Warsaw,370,BOOKED
5341927283639760721,39,15,2020-10-02,2020-12-09,Sydney,Berlin,674,BOOKED
5406901574042120560,421,22,2020-10-02,2021-01-19,Warsaw,Hong Kong,567,BOOKED
1821873362059840143,64,15,2020-10-02,2021-01-28,Beijing,Sao Paolo,183,BOOKED
2635997068697125562,228,4,2020-10-02,2021-01-20,New Mexico,Buenos Aires,744,BOOKED
819097861409991460,308,9,2020-10-02,2021-01-08,Milano,Hong Kong,387,BOOKED
6031613561955976496,418,19,2020-10-02,2020-09-26,Paris,Stockholm,30,EXCHANGED
4278572873581753482,139,15,2020-10-02,2020-11-01,Hong Kong,Tokyo,81,EXCHANGED
8550106228669709856,41,17,2020-10-02,2020-11-25,Buenos Aires,Sao Paolo,83,EXCHANGED
7771954521286444868,39,15,2020-10-02,2020-11-11,Kiev,Dubai,28,EXCHANGED
7575490185098778238,93,19,2020-10-02,2020-10-25,Moscow,Hong Kong,42,EXCHANGED
5132885385816542472,14,15,2020-10-02,2020-11-29,Berlin,London,21,EXCHANGED
8899191227505064292,116,17,2020-10-03,2020-12-19,Moscow,Osaka,688,BOOKED
1152869397144351654,127,3,2020-10-03,2021-01-23,Brussels,Sydney,816,BOOKED
