bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
9065669932338833437,18,19,2021-02-01,2021-01-25,Sydney,Oslo,40,EXCHANGED
6151028966504925680,312,13,2021-02-01,2021-04-03,Moscow,Prague,25,EXCHANGED
3432245577360492572,476,2,2021-02-01,2021-03-14,Amsterdam,Tokyo,20,EXCHANGED
7502407046141746102,488,14,2021-02-01,2021-03-02,Hong Kong,Paris,26,EXCHANGED
6981812774320687046,90,16,2021-02-02,2021-04-20,Dubai,Paris,414,BOOKED
4314071009572471354,410,11,2021-02-02,2021-04-05,Sydney,Moscow,496,BOOKED
597680008814584442,488,14,2021-02-02,2021-05-12,Toronto,Johannesburg,393,BOOKED
3701485701723295749,350,1,2021-02-02,2021-04-27,London,Beijing,183,BOOKED
769871068557402182,254,5,2021-02-02,2021-04-29,Amsterdam,Amsterdam,748,BOOKED
44631145985892697,250,1,2021-02-02,2021-04-20,Sao Paolo,Lausanne,89,BOOKED
4355075817820101834,314,15,2021-02-02,2021-04-10,Paris,Osaka,175,BOOKED
4300573558047564783,249,25,2021-02-02,2021-05-22,Sofia,Madrid,99,BOOKED
9182931019499283059,442,18,2021-02-02,2021-04-17,Hong Kong,Amsterdam,744,BOOKED
8072100610967529613,389,15,2021-02-02,2021-04-05,New Delhi,Madrid,562,BOOKED
3090534759628504028,134,10,2021-02-02,2021-04-11,Tokyo,Stockholm,153,BOOKED
542544440139614334,231,7,2021-02-02,2021-02-21,Hong Kong,Toronto,34,EXCHANGED
1696983112447849719,114,15,2021-02-02,2021-02-23,Lausanne,New Delhi,51,EXCHANGED
5531426813926811623,360,11,2021-02-03,2021-04-05,New Mexico,Osaka,406,BOOKED
6516982623035165089,250,1,2021-02-03,2021-04-20,New Mexico,Sao Paolo,54,BOOKED
1841523936364874022,272,23,2021-02-03,2021-04-16,Brussels,Beijing,216,BOOKED
27074698452349256,26,2,2021-02-03,2021-05-29,Hong Kong,Sao Paolo,379,BOOKED
2527017768391506500,217,18,2021-02-03,2021-04-17,Sydney,Beijing,705,BOOKED
5093702897449115034,442,18,2021-02-03,2021-05-12,Sao Paolo,Milano,469,BOOKED
3050776635970677019,115,16,2021-02-03,2021-05-25,New Mexico,Bogota,41,BOOKED
4250052681310296736,181,7,2021-02-03,2021-05-25,Kiev,Osaka,575,BOOKED
3896986932205962770,45,21,2021-02-03,2021-04-25,Paris,Toronto,647,BOOKED
1494598456962080933,225,1,2021-02-03,2021-05-17,Cairo,Paris,463,BOOKED
2573254228074592434,378,4,2021-02-03,2021-04-29,Dubai,Sydney,407,BOOKED
6214658811463239705,206,7,2021-02-03,2021-04-14,Tokyo,New Mexico,389,BOOKED
6010625362292679978,464,15,2021-02-03,2021-04-27,Amsterdam,Cairo,55,BOOKED
63777691483933994,399,25,2021-02-03,2021-04-10,Paris,Madrid,748,BOOKED
2728797205838608184,39,15,2021-02-03,2021-05-31,Lausanne,Brussels,333,BOOKED
4457161894817867978,240,16,2021-02-03,2021-04-12,Sydney,London,417,BOOKED
5402910525567752784,384,10,2021-02-03,2021-05-09,New York,Sofia,256,BOOKED
8423631878341277439,4,5,2021-02-03,2021-02-16,Paris,Johannesburg,332,CANCELLED
3109946378766544373,250,1,2021-02-03,2021-03-18,Paris,Brussels,529,CANCELLED
6526352804518781644,48,24,2021-02-03,2021-04-11,London,Oslo,664,CANCELLED
6767431023135795683,130,6,2021-02-03,2021-03-08,Hong Kong,Los Angeles,272,CANCELLED
9073124909925081894,477,3,2021-02-03,2021-03-28,Berlin,Milano,29,EXCHANGED
1278262228939973455,131,7,2021-02-03,2021-04-22,Moscow,Athens,25,EXCHANGED
2019951522136201169,39,15,2021-02-03,2021-03-24,Buenos Aires,Sydney,43,EXCHANGED
1079597944669649423,395,21,2021-02-03,2021-04-16,Warsaw,Sydney,46,EXCHANGED
942506701992739630,250,1,2021-02-03,2021-03-12,Budapest,Los Angeles,27,EXCHANGED
7089371169040207295,157,8,2021-02-03,2021-03-15,Stockholm,Paris,22,EXCHANGED
4614770085295637348,222,23,2021-02-04,2021-04-13,Osaka,Lausanne,254,BOOKED
4022568085713282641,491,17,2021-02-04,2021-04-23,Amsterdam,Prague,308,BOOKED
5929996630564147840,39,15,2021-02-04,2021-04-19,Osaka,Sydney,226,BOOKED
2131866822825627413,250,1,2021-02-04,2021-04-04,Amsterdam,Prague,578,BOOKED
4799201345227609319,165,16,2021-02-04,2021-04-08,Paris,Berlin,633,BOOKED
2804469649533909147,120,21,2021-02-04,2021-05-23,Munich,Beijing,45,BOOKED
2971018978063703548,109,10,2021-02-04,2021-04-28,Sydney,London,465,BOOKED
7886330698823879604,189,15,2021-02-04,2021-04-08,Paris,Amsterdam,323,BOOKED
8363435304401931181,211,12,2021-02-04,2021-04-20,Sydney,Dubai,570,BOOKED
4271341377548463999,255,6,2021-02-04,2021-05-13,Buenos Aires,Oslo,726,BOOKED
2491854580205993007,303,4,2021-02-04,2021-05-22,London,Oslo,495,BOOKED
2086597452604018284,393,19,2021-02-04,2021-05-27,Sydney,Budapest,225,BOOKED
8646044251516333379,16,17,2021-02-04,2021-02-28,Oslo,Lausanne,42,EXCHANGED
8291977037659805566,161,12,2021-02-04,2021-04-13,Lisbon,Stockholm,34,EXCHANGED
7966774204442224462,100,1,2021-02-04,2021-03-05,Berlin,London,53,EXCHANGED
1612158184029206707,250,1,2021-02-04,2021-04-11,Tokyo,Lausanne,62,EXCHANGED
731056402402010544,94,20,2021-02-04,2021-02-23,Amsterdam,Milano,25,EXCHANGED
1757535722316909017,303,4,2021-02-04,2021-03-03,Amsterdam,Moscow,23,EXCHANGED
9090528136340744443,39,15,2021-02-04,2021-03-09,Paris,Toronto,26,EXCHANGED
818457434221550185,47,23,2021-02-04,2021-04-04,Sydney,Sydney,29,EXCHANGED
7942717742273667918,428,4,2021-02-04,2021-03-03,New York,Sofia,23,EXCHANGED
863666548955556954,79,5,2021-02-05,2021-05-09,Lausanne,Sydney,285,BOOKED
2919776895481101771,356,7,2021-02-05,2021-05-19,Cairo,Lisbon,401,BOOKED
3742608423074592618,470,21,2021-02-05,2021-05-11,Sydney,Paris,41,BOOKED
74049024375346609,250,1,2021-02-05,2021-05-10,Warsaw,Sao Paolo,445,BOOKED
6667109131997426549,252,3,2021-02-05,2021-04-13,Toronto,Lisbon,641,BOOKED
4293540345600791111,365,16,2021-02-05,2021-04-21,Sydney,Johannesburg,165,BOOKED
6434757260380073167,166,17,2021-02-05,2021-04-21,Cairo,Buenos Aires,107,BOOKED
1216734608588201914,23,24,2021-02-05,2021-04-05,Sydney,New York,758,BOOKED
7141739315459367368,394,20,2021-02-05,2021-05-06,Stockholm,Brussels,302,BOOKED
1148111317933826018,220,21,2021-02-05,2021-05-08,New York,Lausanne,128,BOOKED
7077477495942533550,28,4,2021-02-05,2021-04-13,Johannesburg,Sydney,101,BOOKED
5635973082630916100,60,11,2021-02-05,2021-05-28,Paris,Sydney,212,BOOKED
4592916231782992606,380,6,2021-02-05,2021-05-06,Bogota,Los Angeles,307,CANCELLED
2755213372765233416,437,13,2021-02-05,2021-03-27,Bogota,Sao Paolo,70,EXCHANGED
5882502533216892040,29,5,2021-02-05,2021-03-07,Toronto,Paris,25,EXCHANGED
4732453535599309766,166,17,2021-02-05,2021-02-26,Tokyo,Sydney,48,EXCHANGED
6841234612773757926,4,5,2021-02-05,2021-03-16,Moscow,Bogota,25,EXCHANGED
4873534916937318874,39,15,2021-02-05,2021-02-28,London,Sydney,25,EXCHANGED
7838156231930584048,225,1,2021-02-05,2021-04-03,Amsterdam,Los Angeles,51,EXCHANGED
1087151510753425631,129,5,2021-02-05,2021-03-27,Bogota,Amsterdam,26,EXCHANGED
674870629731114313,462,13,2021-02-05,2021-04-25,Amsterdam,Bogota,20,EXCHANGED
2250594048670083252,219,20,2021-02-06,2021-05-10,Madrid,Amsterdam,668,BOOKED
8224830337798612597,99,25,2021-02-06,2021-05-16,Moscow,Johannesburg,340,BOOKED
7331209207648986151,488,14,2021-02-06,2021-05-24,Paris,Paris,355,BOOKED
5499742738031575234,335,11,2021-02-06,2021-05-06,Paris,New Delhi,583,BOOKED
2667019986446460920,324,25,2021-02-06,2021-05-25,Toronto,Johannesburg,768,BOOKED
6205208909692098076,391,17,2021-02-06,2021-05-20,New Delhi,Hong Kong,557,BOOKED
2415144496854962565,196,22,2021-02-06,2021-04-07,Tokyo,Lisbon,71,BOOKED
4920224882421069484,485,11,2021-02-06,2021-05-28,Amsterdam,Stockholm,202,BOOKED
8781014911623324973,371,22,2021-02-06,2021-04-14,Hong Kong,Milano,692,BOOKED
1136164733376497224,344,20,2021-02-06,2021-05-03,Amsterdam,Moscow,27,BOOKED
8028018498167318873,252,3,2021-02-06,2021-05-02,Paris,Tokyo,766,BOOKED
5158241445984972303,250,1,2021-02-06,2021-03-23,Berlin,Beijing,83,EXCHANGED
658818393297392396,137,13,2021-02-06,2021-03-08,Hong Kong,Oslo,33,EXCHANGED
4779892408055408560,39,15,2021-02-06,2021-03-19,Sydney,Lisbon,21,EXCHANGED
5790516568290248555,375,1,2021-02-06,2021-03-18,Johannesburg,Sydney,24,EXCHANGED
2056695990912490952,21,22,2021-02-06,2021-03-05,Amsterdam,Hong Kong,56,EXCHANGED
870549876733051132,163,14,2021-02-06,2021-04-21,Toronto,Sydney,56,EXCHANGED
2960404278671619633,145,21,2021-02-06,2021-03-09,New Delhi,Beijing,20,EXCHANGED
826232569140313763,442,18,2021-02-06,2021-04-07,Paris,Sao Paolo,31,EXCHANGED
1328163599290568449,290,16,2021-02-06,2021-03-11,New Delhi,Prague,70,EXCHANGED
471200172219099865,488,14,2021-02-07,2021-05-14,Osaka,Sydney,563,BOOKED
1474365649290476914,442,18,2021-02-07,2021-05-14,Moscow,Sydney,761,BOOKED
4424946797765746384,133,9,2021-02-07,2021-06-02,Munich,Sao Paolo,550,BOOKED
5384762398071841444,488,14,2021-02-07,2021-05-18,Madrid,Sydney,357,BOOKED
7384446441608724332,104,5,2021-02-07,2021-05-07,Osaka,Sao Paolo,79,BOOKED
4877124032956239861,343,19,2021-02-07,2021-04-11,Oslo,Sao Paolo,820,BOOKED
807449971189571432,412,13,2021-02-07,2021-05-15,Sao Paolo,Amsterdam,314,BOOKED
5543155516632283985,442,18,2021-02-07,2021-05-09,Paris,Stockholm,619,BOOKED
527460012900200658,39,15,2021-02-07,2021-05-17,Amsterdam,Los Angeles,473,BOOKED
7945823220546988512,349,25,2021-02-07,2021-05-11,Hong Kong,Amsterdam,284,BOOKED
1247442250964906806,377,3,2021-02-07,2021-05-04,Paris,New Mexico,346,BOOKED
2067255884846371244,247,23,2021-02-07,2021-01-29,Sydney,Paris,504,CANCELLED
2060830112395586462,43,19,2021-02-07,2021-03-10,New York,Bogota,682,CANCELLED
1368220698714755432,122,23,2021-02-07,2021-04-03,Madrid,Amsterdam,40,EXCHANGED
8171326965649730807,131,7,2021-02-07,2021-03-15,Paris,Sydney,29,EXCHANGED
2595112365560718171,334,10,2021-02-07,2021-04-05,Sao Paolo,New Mexico,37,EXCHANGED
2318693790032154697,49,25,2021-02-08,2021-05-05,Paris,Johannesburg,648,BOOKED
3779022382322408787,262,13,2021-02-08,2021-04-21,Hong Kong,London,661,BOOKED
2767197661464319097,114,15,2021-02-08,2021-04-27,New York,Johannesburg,176,BOOKED
87059779774230577,355,6,2021-02-08,2021-05-22,Sao Paolo,Paris,83,BOOKED
1782302764491001409,194,20,2021-02-08,2021-05-09,Amsterdam,Warsaw,812,BOOKED
5201177969876028362,330,6,2021-02-08,2021-04-21,Oslo,Sydney,62,BOOKED
346814337694577536,481,7,2021-02-08,2021-04-11,Prague,Lausanne,641,BOOKED
7629727175606754837,70,21,2021-02-08,2021-05-24,Sydney,Cairo,124,BOOKED
2215686397526131182,452,3,2021-02-08,2021-04-04,Stockholm,Hong Kong,587,CANCELLED
5900053718330371141,180,6,2021-02-08,2021-02-05,Warsaw,Hong Kong,199,CANCELLED
2258192003326898295,21,22,2021-02-08,2021-03-26,Brussels,Sydney,21,EXCHANGED
6459629642979925782,65,16,2021-02-08,2021-03-25,Paris,Brussels,45,EXCHANGED
5773590772412422761,155,6,2021-02-08,2021-03-25,Brussels,Johannesburg,43,EXCHANGED
2779708819041210740,119,20,2021-02-08,2021-04-14,Sydney,Oslo,49,EXCHANGED
7590911535502802625,314,15,2021-02-08,2021-04-01,Lisbon,Hong Kong,28,EXCHANGED
690314665278193547,241,17,2021-02-08,2021-03-06,Kiev,Prague,67,EXCHANGED
7598352066056797556,199,25,2021-02-09,2021-05-21,Lausanne,Osaka,697,BOOKED
2652000596954698440,194,20,2021-02-09,2021-04-09,New Mexico,Paris,757,BOOKED
3198615834238902125,167,18,2021-02-09,2021-04-22,Munich,Toronto,97,BOOKED
8855052969247773953,329,5,2021-02-09,2021-05-11,Madrid,Hong Kong,74,BOOKED
9181666854627495378,472,23,2021-02-09,2021-06-05,Sydney,Athens,236,BOOKED
35507580828230124,162,13,2021-02-09,2021-06-03,Amsterdam,New Delhi,192,BOOKED
7135266563188766868,169,20,2021-02-09,2021-05-12,Amsterdam,New Delhi,536,BOOKED
3759187080471668410,342,18,2021-02-09,2021-05-19,Bogota,Sydney,462,BOOKED
7831619596697167340,200,1,2021-02-09,2021-05-27,Sao Paolo,Amsterdam,139,BOOKED
7105154122929612151,190,16,2021-02-09,2021-04-30,Madrid,London,721,BOOKED
854518992994729558,194,20,2021-02-09,2021-05-25,Stockholm,New Delhi,617,BOOKED
4125057281305597702,39,15,2021-02-09,2021-06-03,New Mexico,Oslo,169,BOOKED
5461553922899164758,329,5,2021-02-09,2021-04-23,New Mexico,Amsterdam,496,CANCELLED
6909188974711541846,200,1,2021-02-09,2021-04-07,New York,New Delhi,26,EXCHANGED
7984096642489683842,308,9,2021-02-09,2021-03-31,Toronto,Stockholm,23,EXCHANGED
307899950353076729,250,1,2021-02-09,2021-04-04,Buenos Aires,Hong Kong,27,EXCHANGED
6893980715032739035,184,10,2021-02-09,2021-04-30,Beijing,Athens,43,EXCHANGED
6304820350132584083,132,8,2021-02-10,2021-05-25,New Delhi,Lisbon,466,BOOKED
7606335525922053942,352,3,2021-02-10,2021-05-10,New Delhi,Brussels,748,BOOKED
3640964117950065436,411,12,2021-02-10,2021-06-05,Hong Kong,New York,86,BOOKED
4145776424805614821,67,18,2021-02-10,2021-04-17,Osaka,Amsterdam,517,BOOKED
