bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
7238377576781069913,492,18,2021-01-01,2021-04-15,London,Athens,334,CANCELLED
794193054891732937,485,11,2021-01-01,2021-02-04,Budapest,Amsterdam,40,EXCHANGED
1653723011240589666,377,3,2021-01-01,2021-02-16,Sydney,Munich,27,EXCHANGED
3203659015236161158,196,22,2021-01-01,2021-01-28,Sydney,Sydney,70,EXCHANGED
2109131685344416836,308,9,2021-01-01,2021-03-01,Athens,Hong Kong,23,EXCHANGED
3891973139963605640,358,9,2021-01-01,2021-02-03,Munich,Tokyo,44,EXCHANGED
8331293172929351042,10,11,2021-01-01,2021-02-23,London,Toronto,37,EXCHANGED
731056402402010544,94,20,2021-01-01,2021-02-23,Amsterdam,Milano,94,EXCHANGED
1969916587381784596,314,15,2021-01-02,2021-04-24,Sofia,Warsaw,336,BOOKED
1430921410084246043,34,10,2021-01-02,2021-04-02,Amsterdam,Sydney,647,BOOKED
8470431024823708243,308,9,2021-01-02,2021-04-05,Sao Paolo,Sydney,421,BOOKED
8338162614173491969,308,9,2021-01-02,2021-03-21,Los Angeles,Sydney,474,BOOKED
9090528136340744443,39,15,2021-01-02,2021-03-09,Paris,Toronto,509,BOOKED
11870454564897905,108,9,2021-01-02,2021-04-06,Beijing,Madrid,293,BOOKED
6423118483852347836,440,16,2021-01-02,2021-03-11,Osaka,Los Angeles,400,BOOKED
5922947177576513561,194,20,2021-01-02,2021-04-24,Athens,Sofia,149,BOOKED
5253063340601862966,124,25,2021-01-02,2021-04-11,Moscow,Johannesburg,35,BOOKED
3078443519375321150,256,7,2021-01-02,2021-04-15,Sydney,Hong Kong,820,BOOKED
3897602172708170340,194,20,2021-01-02,2021-03-27,Sydney,Stockholm,93,BOOKED
8171326965649730807,131,7,2021-01-02,2021-03-15,Paris,Sydney,683,BOOKED
7424061119905258281,370,21,2021-01-02,2021-04-29,Buenos Aires,Athens,203,BOOKED
620697739719258264,332,8,2021-01-02,2021-02-20,Sao Paolo,Lausanne,300,CANCELLED
3519028935004957626,442,18,2021-01-02,2021-02-26,Sydney,Amsterdam,76,EXCHANGED
9111304652399915782,86,12,2021-01-02,2021-03-03,Paris,Amsterdam,47,EXCHANGED
6151028966504925680,312,13,2021-01-02,2021-04-03,Moscow,Prague,43,EXCHANGED
7993848737274118943,391,17,2021-01-03,2021-04-21,Budapest,Amsterdam,90,BOOKED
4194837394714116202,32,8,2021-01-03,2021-03-29,Sydney,Toronto,721,BOOKED
1454993840160419604,39,15,2021-01-03,2021-03-13,Athens,Budapest,376,BOOKED
7876764213277735320,125,1,2021-01-03,2021-03-29,Toronto,Amsterdam,236,BOOKED
3986148943190996676,223,24,2021-01-03,2021-04-24,Sao Paolo,Oslo,246,BOOKED
