bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
770711529435503856,280,6,2021-07-01,2021-07-29,Sydney,Sao Paolo,139,CANCELLED
7227552790916676423,442,18,2021-07-01,2021-08-19,Amsterdam,Munich,24,EXCHANGED
4208348698665153881,317,18,2021-07-01,2021-08-26,Buenos Aires,Brussels,45,EXCHANGED
801689914514723387,451,2,2021-07-01,2021-08-12,Amsterdam,Sydney,79,EXCHANGED
6088276763872783973,70,21,2021-07-01,2021-09-13,Sofia,Hong Kong,47,EXCHANGED
2185402495594211056,134,10,2021-07-02,2021-08-27,Cairo,Budapest,321,CANCELLED
6698534577980752959,52,3,2021-07-02,2021-08-08,New Delhi,Sao Paolo,79,CANCELLED
5971434485109911155,250,1,2021-07-02,2021-08-21,Berlin,Lisbon,116,CANCELLED
5675364242713290410,8,9,2021-07-02,2021-08-26,Hong Kong,Sao Paolo,30,EXCHANGED
6614463404016699397,367,18,2021-07-02,2021-08-29,Paris,Sao Paolo,31,EXCHANGED
1305555798647011727,365,16,2021-07-02,2021-07-22,Los Angeles,Berlin,40,EXCHANGED
4470276137726344519,435,11,2021-07-02,2021-08-02,London,Sao Paolo,68,EXCHANGED
3502223514620172183,458,9,2021-07-02,2021-09-05,Warsaw,Los Angeles,20,EXCHANGED
621196447552601573,416,17,2021-07-03,2021-09-22,Brussels,Sydney,56,EXCHANGED
3066766355873016274,383,9,2021-07-03,2021-07-20,Warsaw,New Delhi,22,EXCHANGED
4314984246773717659,42,18,2021-07-03,2021-08-30,Paris,Sydney,21,EXCHANGED
3730204646673964731,254,5,2021-07-03,2021-08-03,Los Angeles,Amsterdam,40,EXCHANGED
7602724574191034787,284,10,2021-07-03,2021-09-09,Athens,Sydney,41,EXCHANGED
5328126223848901906,123,24,2021-07-03,2021-08-24,Buenos Aires,Amsterdam,23,EXCHANGED
7614390761017650,332,8,2021-07-03,2021-09-13,Sofia,Sao Paolo,24,EXCHANGED
6018850758580091007,194,20,2021-07-03,2021-08-11,Osaka,Sydney,48,EXCHANGED
2017464581282137848,442,18,2021-07-03,2021-08-05,Sydney,Sydney,53,EXCHANGED
7660930412583479382,57,8,2021-07-03,2021-08-09,Lausanne,Bogota,60,EXCHANGED
8544353177813157282,39,15,2021-07-04,2021-08-11,Paris,Oslo,387,CANCELLED
899663568620806490,177,3,2021-07-04,2021-07-31,Osaka,Dubai,394,CANCELLED
2219681179168567703,290,16,2021-07-04,2021-08-07,Los Angeles,Kiev,31,EXCHANGED
3651255037703167756,492,18,2021-07-04,2021-08-29,Madrid,Toronto,46,EXCHANGED
7041515123918655059,41,17,2021-07-04,2021-08-13,Hong Kong,Sydney,33,EXCHANGED
7827966040784721818,39,15,2021-07-04,2021-07-26,Amsterdam,Paris,29,EXCHANGED
4883586141011630939,197,23,2021-07-05,2021-08-21,Los Angeles,Moscow,76,EXCHANGED
4537727139300487567,194,20,2021-07-05,2021-09-13,Madrid,Sao Paolo,20,EXCHANGED
5696018582111538055,251,2,2021-07-05,2021-07-29,Prague,Madrid,93,EXCHANGED
295777222373558037,48,24,2021-07-05,2021-08-18,Sydney,Amsterdam,22,EXCHANGED
2853619374242532591,221,22,2021-07-05,2021-07-23,Bogota,Budapest,21,EXCHANGED
8219696170160095218,459,10,2021-07-05,2021-06-27,Sao Paolo,Oslo,49,EXCHANGED
6358572921985572746,209,10,2021-07-05,2021-08-10,Beijing,Berlin,24,EXCHANGED
7146800626510188503,117,18,2021-07-05,2021-07-26,Los Angeles,Munich,26,EXCHANGED
2155046239839547779,48,24,2021-07-05,2021-07-30,Amsterdam,Stockholm,28,EXCHANGED
8858805990975859145,40,16,2021-07-05,2021-08-20,Bogota,New Mexico,72,EXCHANGED
3594513657765101908,194,20,2021-07-06,2021-07-04,Berlin,New Mexico,710,CANCELLED
5264838732939228261,71,22,2021-07-06,2021-09-04,Sydney,Tokyo,23,EXCHANGED
5014962372915872402,308,9,2021-07-07,2021-07-29,Cairo,Lausanne,628,CANCELLED
4972051385419016356,30,6,2021-07-07,2021-07-25,Stockholm,Paris,129,CANCELLED
7637101978186786165,76,2,2021-07-07,2021-09-04,New York,Los Angeles,65,EXCHANGED
6261420186513094921,285,11,2021-07-07,2021-08-05,Sydney,Beijing,61,EXCHANGED
2368047405608443489,142,18,2021-07-07,2021-08-10,Sydney,Kiev,59,EXCHANGED
3024121460364484057,126,2,2021-07-08,2021-08-08,Paris,Sydney,216,CANCELLED
3685597045930138907,146,22,2021-07-08,2021-07-15,Cairo,Oslo,314,CANCELLED
336621971056506788,250,1,2021-07-08,2021-08-30,Sydney,Sydney,38,EXCHANGED
4190658934332915638,24,25,2021-07-08,2021-08-26,Beijing,Cairo,28,EXCHANGED
490470488384212685,212,13,2021-07-08,2021-07-30,Lisbon,Bogota,30,EXCHANGED
448893205507783975,168,19,2021-07-08,2021-08-25,Moscow,Brussels,38,EXCHANGED
7195745525092308769,266,17,2021-07-08,2021-07-30,Munich,Sao Paolo,24,EXCHANGED
3249945664612930539,194,20,2021-07-08,2021-07-29,Paris,Madrid,21,EXCHANGED
6727908829334201625,421,22,2021-07-08,2021-08-11,New Delhi,Paris,45,EXCHANGED
2963145114663147727,164,15,2021-07-08,2021-08-16,Amsterdam,Paris,20,EXCHANGED
8464594575355889908,442,18,2021-07-09,2021-08-22,Sydney,Sydney,26,EXCHANGED
8195532098683631400,82,8,2021-07-09,2021-08-19,Bogota,Oslo,44,EXCHANGED
1232104854188683116,130,6,2021-07-09,2021-07-30,Amsterdam,Amsterdam,20,EXCHANGED
6437211750231144580,159,10,2021-07-09,2021-09-06,Sao Paolo,Sydney,88,EXCHANGED
5468004025939252657,493,19,2021-07-09,2021-08-19,Sydney,Hong Kong,74,EXCHANGED
1644228190687422687,404,5,2021-07-09,2021-08-26,Sao Paolo,London,32,EXCHANGED
9011066702646204977,167,18,2021-07-09,2021-08-03,Paris,New Mexico,90,EXCHANGED
3599256602498581617,163,14,2021-07-10,2021-08-13,Paris,Sydney,195,CANCELLED
5767204995256810267,194,20,2021-07-10,2021-08-04,Paris,Hong Kong,24,EXCHANGED
5618900925636385770,194,20,2021-07-10,2021-08-02,Osaka,Munich,62,EXCHANGED
7531189819959239842,239,15,2021-07-10,2021-08-11,Bogota,Hong Kong,47,EXCHANGED
4958618907975200296,77,3,2021-07-11,2021-07-26,Paris,Amsterdam,685,CANCELLED
5880720342533538470,429,5,2021-07-11,2021-08-18,Milano,Amsterdam,20,EXCHANGED
953123213973317402,410,11,2021-07-11,2021-09-07,Sao Paolo,New Mexico,68,EXCHANGED
4004929632192985452,442,18,2021-07-12,2021-07-27,Paris,Moscow,387,CANCELLED
282451327891688644,347,23,2021-07-12,2021-09-10,Lisbon,Bogota,25,EXCHANGED
4701145051920216591,39,15,2021-07-12,2021-08-02,Sydney,Lausanne,61,EXCHANGED
9120659268056967500,316,17,2021-07-12,2021-08-13,Paris,Paris,25,EXCHANGED
4278546977831407558,39,15,2021-07-13,2021-08-07,Moscow,Osaka,66,EXCHANGED
8814895537921949584,194,20,2021-07-13,2021-08-06,Madrid,Sydney,30,EXCHANGED
2113132870142367474,11,12,2021-07-13,2021-08-20,Paris,Toronto,22,EXCHANGED
4448209337016526893,296,22,2021-07-13,2021-09-23,Amsterdam,Hong Kong,30,EXCHANGED
8538501126861890669,232,8,2021-07-13,2021-08-30,Tokyo,Milano,30,EXCHANGED
6787089286973330799,500,1,2021-07-14,2021-07-30,Brussels,Sofia,120,CANCELLED
5190940188342780314,167,18,2021-07-14,2021-09-21,New Delhi,Budapest,73,EXCHANGED
5713599922032903734,39,15,2021-07-14,2021-08-18,Sofia,Munich,27,EXCHANGED
7682334309947154237,324,25,2021-07-14,2021-07-31,Brussels,Sydney,22,EXCHANGED
1146327812639901193,333,9,2021-07-14,2021-08-18,New Delhi,Amsterdam,32,EXCHANGED
1892760786657962558,339,15,2021-07-15,2021-08-06,Amsterdam,Paris,141,CANCELLED
6482667732030536210,68,19,2021-07-15,2021-07-13,Sao Paolo,Los Angeles,285,CANCELLED
569523595968765259,103,4,2021-07-15,2021-08-01,Madrid,Sao Paolo,23,EXCHANGED
8072606341156261728,391,17,2021-07-15,2021-08-11,Kiev,Sao Paolo,27,EXCHANGED
1874348697112386372,59,10,2021-07-15,2021-08-03,Sydney,Los Angeles,79,EXCHANGED
6358494283013289427,149,25,2021-07-16,2021-08-12,Osaka,Tokyo,618,CANCELLED
698255378256985060,52,3,2021-07-16,2021-09-20,Tokyo,Hong Kong,704,CANCELLED
8127972824076497076,194,20,2021-07-16,2021-08-07,Berlin,Johannesburg,21,EXCHANGED
8835670291319295538,182,8,2021-07-16,2021-08-18,Amsterdam,Sydney,50,EXCHANGED
3411609504835419871,22,23,2021-07-16,2021-09-01,Moscow,Beijing,53,EXCHANGED
8336155883405785143,241,17,2021-07-16,2021-09-02,Toronto,Amsterdam,67,EXCHANGED
1468286279026494361,144,20,2021-07-16,2021-09-01,Dubai,Sydney,34,EXCHANGED
1099086823019342978,116,17,2021-07-17,2021-08-07,Sydney,New York,339,CANCELLED
5472229775729187304,68,19,2021-07-17,2021-07-23,Beijing,Hong Kong,556,CANCELLED
6199000218703020985,24,25,2021-07-17,2021-09-26,Dubai,Berlin,25,EXCHANGED
7160388194004918312,78,4,2021-07-17,2021-08-13,Sydney,Hong Kong,20,EXCHANGED
595398528102503147,339,15,2021-07-18,2021-07-15,Johannesburg,Amsterdam,175,CANCELLED
7459480515802410685,376,2,2021-07-18,2021-09-14,Cairo,Tokyo,530,CANCELLED
801768886461056811,240,16,2021-07-18,2021-08-03,Johannesburg,Sao Paolo,437,CANCELLED
8281767741629807615,34,10,2021-07-18,2021-09-09,Amsterdam,Prague,30,EXCHANGED
8072998729679432546,308,9,2021-07-18,2021-09-03,Lausanne,Moscow,23,EXCHANGED
8742971869206219534,442,18,2021-07-18,2021-07-13,Toronto,Paris,78,EXCHANGED
5134522513191577433,168,19,2021-07-18,2021-09-06,Brussels,Hong Kong,37,EXCHANGED
2017464581282137848,442,18,2021-07-18,2021-08-05,Sydney,Sydney,35,EXCHANGED
3274215337093709426,442,18,2021-07-18,2021-08-12,Buenos Aires,Sao Paolo,59,EXCHANGED
2396800938241148694,102,3,2021-07-19,2021-09-13,Milano,Osaka,216,CANCELLED
7487771673817057559,394,20,2021-07-19,2021-09-10,New Mexico,Hong Kong,76,EXCHANGED
6375920497103290578,357,8,2021-07-20,2021-08-23,Sydney,Sydney,489,CANCELLED
7322116936564566677,487,13,2021-07-20,2021-07-24,Amsterdam,Amsterdam,615,CANCELLED
4750246858056327699,227,3,2021-07-20,2021-08-16,Amsterdam,Hong Kong,523,CANCELLED
4881120377086591102,386,12,2021-07-20,2021-09-03,Sao Paolo,Bogota,31,EXCHANGED
2868580648859918765,370,21,2021-07-20,2021-09-05,Oslo,Prague,27,EXCHANGED
1897738597877508559,335,11,2021-07-20,2021-09-05,Paris,Lisbon,23,EXCHANGED
2219681179168567703,290,16,2021-07-21,2021-08-07,Los Angeles,Kiev,29,EXCHANGED
6411190126870123576,474,25,2021-07-21,2021-08-16,London,Los Angeles,44,EXCHANGED
5191740295998567178,207,8,2021-07-21,2021-08-31,Amsterdam,Sydney,58,EXCHANGED
2023313455818688484,181,7,2021-07-21,2021-08-24,Hong Kong,Moscow,32,EXCHANGED
3173996313116414144,198,24,2021-07-21,2021-07-14,Sydney,Lisbon,76,EXCHANGED
7660930412583479382,57,8,2021-07-21,2021-08-09,Lausanne,Bogota,33,EXCHANGED
6668312226218242646,171,22,2021-07-22,2021-08-16,Amsterdam,Budapest,29,EXCHANGED
7598136965460699005,118,19,2021-07-22,2021-08-20,Sao Paolo,Paris,46,EXCHANGED
2627876687044964095,172,23,2021-07-23,2021-07-21,Beijing,Sao Paolo,67,EXCHANGED
3036616838247840086,39,15,2021-07-23,2021-07-15,Milano,Berlin,46,EXCHANGED
3502223514620172183,458,9,2021-07-23,2021-09-05,Warsaw,Los Angeles,22,EXCHANGED
7024354929589045823,471,22,2021-07-24,2021-08-19,Paris,Lisbon,74,EXCHANGED
2172698565238449745,130,6,2021-07-24,2021-09-10,Amsterdam,Oslo,71,EXCHANGED
7041515123918655059,41,17,2021-07-24,2021-08-13,Hong Kong,Sydney,71,EXCHANGED
6318454623368614268,198,24,2021-07-25,2021-07-30,Sydney,Budapest,647,CANCELLED
5202494541387128077,169,20,2021-07-25,2021-07-25,Hong Kong,Paris,723,CANCELLED
4959079866432270641,438,14,2021-07-25,2021-09-02,Amsterdam,Berlin,46,EXCHANGED
7793164274224189427,65,16,2021-07-25,2021-08-21,Sofia,Stockholm,36,EXCHANGED
4721301485325097112,108,9,2021-07-27,2021-08-28,Toronto,Lausanne,33,EXCHANGED
2209139414525878049,194,20,2021-07-27,2021-09-04,Cairo,Johannesburg,67,EXCHANGED
6716885421808362255,144,20,2021-07-28,2021-09-05,Kiev,Lisbon,43,EXCHANGED
3792255167637210641,131,7,2021-07-28,2021-09-18,New Delhi,Sydney,62,EXCHANGED
5328126223848901906,123,24,2021-07-28,2021-08-24,Buenos Aires,Amsterdam,22,EXCHANGED
8858805990975859145,40,16,2021-07-28,2021-08-20,Bogota,New Mexico,63,EXCHANGED
9120659268056967500,316,17,2021-07-28,2021-08-13,Paris,Paris,21,EXCHANGED
5675364242713290410,8,9,2021-07-29,2021-08-26,Hong Kong,Sao Paolo,26,EXCHANGED
621196447552601573,416,17,2021-07-29,2021-09-22,Brussels,Sydney,32,EXCHANGED
4208348698665153881,317,18,2021-07-29,2021-08-26,Buenos Aires,Brussels,25,EXCHANGED
170756167993523509,484,10,2021-07-29,2021-09-17,Sydney,Dubai,20,EXCHANGED
8912511023390714776,316,17,2021-07-30,2021-07-18,Milano,London,228,CANCELLED
2162191817923000195,103,4,2021-07-30,2021-09-16,Amsterdam,Oslo,61,EXCHANGED
7387316097422488244,118,19,2021-07-30,2021-09-01,Sydney,Sydney,21,EXCHANGED
8213817759497029095,210,11,2021-07-31,2021-07-31,Berlin,Toronto,128,CANCELLED
9086143051498279694,442,18,2021-07-31,2021-08-31,Sydney,Amsterdam,177,CANCELLED
6614463404016699397,367,18,2021-07-31,2021-08-29,Paris,Sao Paolo,36,EXCHANGED
3651255037703167756,492,18,2021-07-31,2021-08-29,Madrid,Toronto,21,EXCHANGED
7007613816039800771,245,21,2021-07-31,2021-09-05,Amsterdam,Lausanne,64,EXCHANGED
