bookingId,travellerId,companyId,bookingDate,departureDate,origin,destination,priceInUSD,status
3098847515620608016,141,17,2021-06-01,2021-08-06,Buenos Aires,Berlin,48,CANCELLED
6040875588081153678,479,5,2021-06-01,2021-09-11,Paris,Lausanne,161,CANCELLED
8814895537921949584,194,20,2021-06-01,2021-08-06,Madrid,Sydney,25,EXCHANGED
3066766355873016274,383,9,2021-06-01,2021-07-20,Warsaw,New Delhi,34,EXCHANGED
300941188260680075,119,20,2021-06-01,2021-06-26,Stockholm,Paris,95,EXCHANGED
2086597452604018284,393,19,2021-06-01,2021-05-27,Sydney,Budapest,20,EXCHANGED
5008688437414576739,250,1,2021-06-01,2021-07-06,Amsterdam,Amsterdam,34,EXCHANGED
2339257954404820234,166,17,2021-06-01,2021-05-27,Amsterdam,Amsterdam,23,EXCHANGED
4379083755056758552,314,15,2021-06-01,2021-07-23,Amsterdam,Sao Paolo,32,EXCHANGED
8349128836135374012,312,13,2021-06-01,2021-06-26,Warsaw,Lisbon,21,EXCHANGED
3534905458173717690,249,25,2021-06-01,2021-07-23,Munich,Beijing,39,EXCHANGED
4439313015864594846,250,1,2021-06-01,2021-07-12,Berlin,Los Angeles,55,EXCHANGED
6668312226218242646,171,22,2021-06-02,2021-08-16,Amsterdam,Budapest,686,BOOKED
8072998729679432546,308,9,2021-06-02,2021-09-03,Lausanne,Moscow,54,BOOKED
5573490776649998979,214,15,2021-06-02,2021-08-14,Paris,Sao Paolo,807,BOOKED
7767017134664387143,194,20,2021-06-02,2021-09-15,Toronto,Madrid,668,BOOKED
3622238005642140222,31,7,2021-06-02,2021-08-15,Prague,Madrid,353,BOOKED
6107970491502309714,442,18,2021-06-02,2021-09-14,Milano,Sao Paolo,674,BOOKED
5334091569013044385,369,20,2021-06-02,2021-09-21,Toronto,Sydney,326,BOOKED
6885746684551170223,244,20,2021-06-02,2021-09-01,Brussels,Bogota,166,BOOKED
3162729754397241274,407,8,2021-06-02,2021-08-11,Paris,Toronto,724,BOOKED
8597658806163279690,70,21,2021-06-02,2021-09-05,Hong Kong,London,293,BOOKED
4477290060017751812,389,15,2021-06-02,2021-07-08,Hong Kong,Tokyo,23,EXCHANGED
7289152891469718169,372,23,2021-06-02,2021-08-23,Beijing,Sao Paolo,23,EXCHANGED
1329842185742031070,194,20,2021-06-02,2021-07-06,Amsterdam,Sydney,23,EXCHANGED
4714775473559702176,435,11,2021-06-02,2021-07-06,Kiev,Sao Paolo,30,EXCHANGED
290958248807775543,178,4,2021-06-02,2021-07-31,Budapest,Stockholm,30,EXCHANGED
1821705995222137255,373,24,2021-06-02,2021-06-01,Stockholm,Hong Kong,49,EXCHANGED
7344473186582733339,234,10,2021-06-02,2021-06-19,Toronto,New Mexico,49,EXCHANGED
